,id,fullName,shortName,city,country,longitude,latitude
22,130,MA Aziz Stadium,MA Aziz Stadium,Chittagong,Bangladesh,,
23,131,Green Park,Green Park,Kanpur,India,,
24,132,Bay Oval,Bay Oval,Tauranga,New Zealand,,
26,134,Pukekura Park,Pukekura Park,New Plymouth,New Zealand,,
30,139,"The Sevens Stadium, Pitch 1","The Sevens Stadium, Pitch 1",Dubai,United Arab of Emirates,,
31,140,"The Sevens Stadium, Pitch 2","The Sevens Stadium, Pitch 2",Dubai,United Arab of Emirates,,
10,219,Kinrara Oval,Kinrara Oval,Kuala Lumpur,Malaysia,,
11,220,Royal Selangor Club,Royal Selangor Club,Kuala Lumpur,Malaysia,,
12,221,Bayuemas Oval,Bayuemas Oval,Kuala Lumpur,Malaysia,,
13,222,Sinhalese Sports Club Ground,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,
14,223,Bristol County Ground,Bristol County Ground,Bristol,England,0.0,0.0
15,225,Warner Park,Warner Park,Basseterre,West Indies,,
16,226,Singapore Cricket Club,Singapore Cricket Club,Singapore,Singapore,,
17,227,Indian Association Ground,Indian Association Ground,Singapore,Singapore,,
18,228,Kallang,Kallang,Singapore,Singapore,,
19,229,Marrara Stadium,Marrara Stadium,Darwin,Australia,,
20,230,Allan Border Field,Allan Border Field,Brisbane,Australia,,
21,231,Gardens Oval,Gardens Oval,Darwin,Australia,,
23,233,Peter Burge Oval,Peter Burge Oval,Brisbane,Australia,,
24,234,North Marine Road Ground,North Marine Road Ground,Scarborough,England,,
25,235,Kerrydale Oval,Kerrydale Oval,Gold Coast,Australia,,
26,237,Kingston Twin Ovals,Kingston Twin Ovals,Hobart,Australia,,
27,238,Anzac Park,Anzac Park,Hobart,Australia,,
28,239,Murdoch University Ground,Murdoch University Ground,Perth,Australia,,
29,240,John Blanck Oval,John Blanck Oval,Buderim,Australia,,
30,241,Nondescripts Cricket Club,Nondescripts Cricket Club,Colombo,Sri Lanka,,
31,242,Sheikh Abu Naser Stadium,Sheikh Abu Naser Stadium,Khulna,Bangladesh,,
32,243,Selangor Turf Club,Selangor Turf Club,Kuala Lumpur,Malaysia,,
33,244,Hurstville Oval,Hurstville Oval,Sydney,Australia,,
34,245,Bradman Oval,Bradman Oval,Bowral,Australia,,
35,246,Junction Oval,Junction Oval,Melbourne,Australia,,
42,253,Chittagong Divisional Stadium,Chittagong Divisional Stadium,Chittagong,Bangladesh,,
44,255,The Cloudfm County Ground,The Cloudfm County Ground,Chelmsford,England,,
45,256,County Ground,County Ground,Derby,England,0.0,0.0
46,257,The 1st Central County Ground,The 1st Central County Ground,Hove,England,,
48,259,The County Ground,The County Ground,Northampton,England,0.0,0.0
49,260,The County Ground,The County Ground,Taunton,England,0.0,0.0
51,262,Gaddafi Stadium,Gaddafi Stadium,Lahore,Pakistan,,
52,263,Grace Road,Grace Road,Leicester,England,0.0,0.0
53,264,Gymkhana Club Ground,Gymkhana Club Ground,Nairobi,Kenya,,
61,272,National Stadium,National Stadium,Karachi,Pakistan,,
66,277,Reliance Cricket Stadium,Reliance Cricket Stadium,Vadodara,India,,
67,278,St Helen's,St Helen's,Swansea,Wales,,
68,279,St Lawrence Ground,St Lawrence Ground,Canterbury,England,,
69,280,The Nevill Ground,The Nevill Ground,Tunbridge Wells,England,,
70,281,United Cricket Club Ground,United Cricket Club Ground,Windhoek,Namibia,,
71,282,Affies Park,Affies Park,Windhoek,Namibia,,
72,283,New Williamfield,New Williamfield,Stirling,Scotland,,
73,284,Stormont,Stormont,Belfast,Northern Ireland,,
74,285,Bready Cricket Club,Bready Cricket Club,Londonderry,Northern Ireland,,
75,286,Watson's,Watson's,Edinburgh,Scotland,,
76,287,Heriot's,Heriot's,Edinburgh,Scotland,,
77,288,VOC Rotterdam,VOC Rotterdam,Rotterdam,Netherlands,,
78,289,Hazelaarweg,Hazelaarweg,Rotterdam,Netherlands,,
79,290,Cambusdoon New Ground,Cambusdoon New Ground,Ayr,Scotland,,
80,291,New Road,New Road,Worcester,England,,
82,293,Voorburg Cricket Ground,Voorburg Cricket Ground,Voorburg,Netherlands,,
83,294,Ashlyns Road,Ashlyns Road,Frinton-On-Sea,England,,
84,295,Castle Park Cricket Ground,Castle Park Cricket Ground,Colchester,England,,
85,296,Cricket Field Lane,Cricket Field Lane,Bishop's Stortford,England,,
86,297,Drapers Farm Sports Club,Drapers Farm Sports Club,Maldon,England,,
87,298,Hare Field,Hare Field,Coggeshall,England,,
88,299,Kelvedon and Feering Cricket Club,Kelvedon and Feering Cricket Club,Feering,England,,
89,300,Star Stile,Star Stile,Halstead,England,,
90,301,West Mersea Cricket Club,West Mersea Cricket Club,West Mersea,England,,
91,302,Khan Shaheb Osman Ali Outer Stadium,Khan Shaheb Osman Ali Outer Stadium,Dhaka,Bangladesh,,
92,303,BKSP Cricket Ground 1,BKSP Cricket Ground 1,Dhaka,Bangladesh,,
93,304,BKSP Cricket Ground 2,BKSP Cricket Ground 2,Dhaka,Bangladesh,,
94,305,BKSP Cricket Ground 3,BKSP Cricket Ground 3,Dhaka,Bangladesh,,
