,Player_Id,Runs,Over_count,Econ_Rate,cluster,shortName
68,105,198.0,25.5,7.76,0,Umar Gul
69,116,985.0,121.0,8.14,3,PJ Sangwan
70,122,257.0,35.5,7.24,0,M Ntini
71,143,204.0,26.333333333333332,7.75,0,DP Vijaykumar
72,112,28.0,3.0,9.33,0,DB Ravi Teja
73,45,40.0,7.333333333333333,5.45,0,DJ Thornely
74,115,214.0,24.0,8.92,0,RR Raje
75,21,1029.0,142.0,7.25,3,SK Raina
76,108,22.0,2.1666666666666665,10.15,0,S Vidyut
77,151,2055.0,262.3333333333333,7.83,1,L Balaji
78,147,669.0,79.16666666666667,8.45,4,DR Smith
79,137,359.0,51.666666666666664,6.95,4,AD Mascarenhas
80,136,2941.0,411.0,7.16,2,A Mishra
81,144,54.0,7.666666666666667,7.04,0,Shoaib Akhtar
82,140,1063.0,151.5,7.02,3,Iqbal Abdulla
83,153,538.0,73.83333333333333,7.29,4,RR Powar
84,142,42.0,5.166666666666667,8.13,0,PM Sarvesh Kumar
85,35,2166.0,288.8333333333333,7.5,1,RA Jadeja
86,135,365.0,45.833333333333336,7.96,4,TM Dilshan
87,57,449.0,57.0,7.88,4,RG Sharma
88,438,31.0,3.0,10.33,0,A Nel
89,174,306.0,41.333333333333336,7.4,0,BAW Mendis
90,156,164.0,24.0,6.83,0,T Thushara
91,155,106.0,11.0,9.64,0,A Flintoff
92,194,2611.0,401.1666666666667,6.51,2,SL Malinga
93,160,248.0,29.5,8.41,0,Kamran Khan
94,159,41.0,6.0,6.83,0,T Henderson
95,157,308.0,40.166666666666664,7.67,0,JD Ryder
96,223,810.0,114.83333333333333,7.05,3,DP Nannes
97,439,205.0,26.0,7.88,0,AM Salvi
98,215,311.0,37.0,8.41,0,YA Abdulla
