,id,fullName,shortName,city,country,longitude,latitude
35,949,Manor Park,Manor Park,Horsford,England,,
36,950,High Wycombe Cricket Club,High Wycombe Cricket Club,High Wycombe,England,,
37,951,The Maer Ground,The Maer Ground,Exmouth,England,,
38,952,Bedford School,Bedford School,Bedford,England,,
39,953,North Perrott Cricket Club,North Perrott Cricket Club,North Perrott,England,,
40,954,South Wilts Cricket Club,South Wilts Cricket Club,Salisbury,England,,
41,955,Shifnal Cricket Club,Shifnal Cricket Club,Shifnal,England,,
42,956,Edgbaston Community Sports Ground,Edgbaston Community Sports Ground,Birmingham,,,
43,957,Chatsworth Oval,Chatsworth Oval,Durban,South Africa,,
44,958,Recreation Ground,Recreation Ground,Oudtshoorn,South Africa,,
45,959,Beckenham,Beckenham,Beckenham,England,,
46,960,TBD,TBD,Dehradun,India,,
47,961,TBD,TBD,Lahli,India,,
48,962,TBD,TBD,Kanpur,India,,
49,963,TBD,TBD,Mumbai,India,,
50,964,TBD,TBD,Mulapadu,India,,
51,965,TBD,TBD,Vadodara,India,,
52,966,TBD,TBD,Indore,India,,
53,967,TBD,TBD,Pune,India,,
54,968,TBD,TBD,Rajkot ,India,,
55,969,TBD,TBD,Mangaldai ,India,,
56,970,TBD,TBD,Vizianagaram,India,,
57,971,TBD,TBD,Shimoga,India,,
58,972,TBD,TBD, Nagothane,India,,
59,973,TBD,TBD,Nadiad,India,,
60,974,TBD,TBD,Lucknow,India,,
61,975,TBD,TBD,Baramati,India,,
62,976,TBD,TBD,Jamshedpur,India,,
63,977,TBD,TBD,Chandigarh,India,,
64,978,TBD,TBD,Kadapa,India,,
65,979,TBD,TBD,Golaghat,India,,
66,980,TBD,TBD,Ghaziabad,India,,
67,981,TBD,TBD,Salem,India,,
68,982,TBD,TBD,Barpeta,India,,
69,983,TBD,TBD,Bokaro,India,,
70,984,TBD,TBD,Cochin,India,,
71,985,TBD,TBD,Agartala,India,,
72,986,TBD,TBD,Barasat,India,,
73,987,TBD,TBD,Dhanbad,India,,
74,988,TBD,TBD,Tezpur,India,,
75,989,Braamfischer Oval,Braamfischer Oval,Soweto,South Africa,,
76,990,Mandela Oval,Mandela Oval,Hammanskraal,South Africa,,
77,991,Irene County Club,Irene County Club,Pretoria,South Africa,,
78,992,St. Sithians College,St. Sithians College,Johannesburg,South Africa,,
79,993,St. John's College,St. John's College,Johannesburg,South Africa,,
80,994,James Long Stadium,James Long Stadium,Kolkata,India,,
81,995,Shaheed Vijay Singh Pathak Sports Complex Ground,Shaheed Vijay Singh Pathak Sports Complex Ground,Greater Noida,India,,
82,996,TBD,TBD,Bhubaneshwar,India,,
83,997,K.C. International Sports Complex,K.C. International Sports Complex,Jammu,India,,
84,998,TBD,TBD,Panchukula,India,,
85,999,TBD,TBD,Dibrugarh,India,,
86,1000,Dadoji Konddev Stadium,Dadoji Konddev Stadium,Thane,India,,
87,1001,BDSA Playground,BDSA Playground,Barpeta,India,,
88,1002,Telco Cricket Ground,Telco Cricket Ground,Pune,India,,
89,1003,No. 1 Sports Ground,No. 1 Sports Ground,Newcastle,Australia,,
90,1004,TBD,TBD,Mangalagiri,India,,
91,1005,Pacific Sports Complex,Pacific Sports Complex,Karanpur,India,,
92,1006,TBD,TBD,Ahmedabad,India,,
93,1007,Desert Springs,Desert Springs,Almeria,Spain,,
94,1008,CCFC Ground,CCFC Ground,Kolkata,India,,
