,id,fullName,shortName,abbreviation,type,primaryColor,secondaryColor
200,203,Mumbai,Mumbai,MCA,m,FFFFFF,FFFFFF
201,204,Odisha,Odisha,OCA,m,FFFFFF,FFFFFF
202,205,Punjab,Punjab,PCA,m,FFFFFF,FFFFFF
203,206,Railways,Railways,RSPB,m,FFFFFF,FFFFFF
204,207,Rajasthan,Rajasthan,RCA,m,FFFFFF,FFFFFF
206,209,Saurashtra,Saurashtra,SCA,m,FFFFFF,FFFFFF
207,210,Tamil Nadu,Tamil Nadu,TNCA,m,FFFFFF,FFFFFF
208,211,Tripura,Tripura,TCA,m,FFFFFF,FFFFFF
210,213,Vidarbha,Vidarbha,VCA,m,FFFFFF,FFFFFF
240,243,India A,India A,IND-A,m,FFFFFF,FFFFFF
241,244,India B,India B,IND-B,m,FFFFFF,FFFFFF
270,273,INDIA Blue,INDIA Blue,INDBLU,m,FFFFFF,FFFFFF
271,274,INDIA Red,INDIA Red,INDRED,m,FFFFFF,FFFFFF
272,275,New Zealand A,New Zealand A,New Zealand A,m,,
273,276,West Indies A,West Indies A,West Indies A,m,93232F,5C1515
278,281,Chhattisgarh,Chhattisgarh,CSCS,m,FFFFFF,FFFFFF
392,395,Australia A,Australia A,Australia A,m,FFFFFF,FFFFFF
393,396,South Africa A,South Africa A,South Africa A,m,29804E,FFB300
395,398,Northern Knights,Knights,NK,m,D867A9,FFFFFF
396,399,Southern Express,Express,SE,m,B1BC34,FFFFFF
397,400,Lahore Lions,Lions,LIO,m,F29255,FFFFFF
398,401,Dolphins,Dolphins,DOL,m,70AE7F,FFFFFF
399,402,Barbados Tridents,Tridents,BT,m,2C53BA,FFFFFF
400,403,Northern Territory,Northern Territory,NT,m,FFFFFF,FFFFFF
401,404,Western Australia,Western Australia,WA,m,FFFFFF,
402,405,Northern Districts,Northern Districts,ND,m,,
403,406,South Australia,South Australia,SAus,m,,
405,408,Auckland,Auckland,AUK,m,,
406,409,Tasmania,Tasmania,TAS,m,,
407,410,Queensland Second XI,Queensland Second XI,QUE,m,,
408,411,Canterbury,Canterbury,CTB,m,,
409,412,Otago,Otago,OTA,m,,
410,413,Queensland,Queensland,QUE,m,FFFFFF,FFFFFF
411,414,New Zealand XI,New Zealand XI,NZXI,m,FFFFFF,FFFFFF
412,415,ACT Comets,Australian Capital Territory,ACT,m,FFFFFF,FFFFFF
413,416,Wellington,Wellington,WEL,m,FFFFFF,FFFFFF
418,425,Nepal Under 19s,Nepal U19,NEPu19,b,53647F,FFFFFF
421,428,Ireland Under 19s,Ireland U19,IREu19,b,000066,81E13A
422,429,Fiji Under 19s,Fiji U19,FIJu19,b,00EDFF,FFFFFF
423,430,Papua New Guinea Women,Papua New Guinea,PNGw,w,161926,E0BA00
424,431,China Women,China,CHNw,w,DE2910,FFDE00
425,432,Scotland Women,Scotland,SCOw,w,1D2338,84A2E1
426,433,Gujarat Lions,Gujarat Lions,GL,m,E5BA0F,383838
427,434,Rising Pune Supergiant,Supergiant,RPS,m,FFC0CB,AA3355
439,446,HPCA XI,Himachal XI,HPCAXI,,FFFFFF,FFFFFF
440,447,TNCA City Juniors,TNCA City Juniors,TNCA,w,FFFFFF,FFFFFF
441,448,Mumbai CA XI,Mumbai CA XI,MCAXI,m,FFFFFF,FFFFFF
443,450,Hong Kong Women,Hong Kong,HKw,w,1A1617,FFFFFF
444,451,Nepal Women,Nepal,NEPw,w,53647F,FFFFFF
449,456,INDIA Green,INDIA Green,INDGRE,m,FFFFFF,FFFFFF
450,457,Derbyshire,Derbyshire,DER,m,FFFFFF,FFFFFF
451,458,Durham,Durham,DUR,m,FFFFFF,FFFFFF
452,459,Essex,Essex,ESS,m,FFFFFF,FFFFFF
453,460,Glamorgan,Glamorgan,GLA,m,FFFFFF,FFFFFF
454,461,Gloucestershire,Gloucestershire,GLO,m,FFFFFF,FFFFFF
455,463,Kent,Kent,KEN,m,FFFFFF,FFFFFF
456,464,Lancashire,Lancashire,LAN,m,FFFFFF,FFFFFF
457,465,Leicestershire,Leicestershire,LEI,m,FFFFFF,FFFFFF
458,466,Middlesex,Middlesex,MID,m,FFFFFF,FFFFFF
459,467,Northamptonshire,Northants,NOR,m,FFFFFF,FFFFFF
460,468,Nottinghamshire,Nottinghamshire,NOT,m,FFFFFF,FFFFFF
461,470,Surrey,Surrey,SUR,m,FFFFFF,FFFFFF
462,471,Sussex,Sussex,SUS,m,FFFFFF,FFFFFF
463,472,Warwickshire,Warwickshire,WAR,m,FFFFFF,FFFFFF
464,473,Worcestershire,Worcestershire,WOR,m,FFFFFF,FFFFFF
465,475,Lancashire Thunder,Lancashire Thunder,LT,w,FFFFFF,FFFFFF
466,476,Loughborough Lightning,Loughborough Lightning,LL,w,FFFFFF,FFFFFF
467,477,Southern Vipers,Southern Vipers,SV,w,,
468,478,Surrey Stars,Surrey Stars,SS,w,,
469,479,Western Storm,Western Storm,WS,w,,
470,480,Yorkshire Diamonds,Yorkshire Diamonds,YD,w,,
472,482,England Lions,Lions,ENL,m,023B7A,FFFFFF
474,484,Malaysia Under 19s,Malaysia U19,MASu19,b,1E226E,FFFFFF
475,485,Saudi Arabia Under 19s,Saudia Arabia U19,SDAu19,b,FFFFFF,FFFFFF
476,486,Kuwait Under 19s,Kuwait U19,KUWu19,b,007A3D,CE1126
477,487,Bahrain Under 19s,Bahrain U19,BRNu19,b,FFFFFF,FFFFFF
478,488,Hong Kong Under 19s,Hong Kong U19,HKu19,b,1A1617,FFFFFF
479,489,Qatar Under 19s,Qatar U19,QATu19,b,9C2D11,FFFFFF
480,490,Thailand Under 19s,Thailand U19,THAu19,b,0044AA,FF6DAA
481,491,Singapore Under 19s,Singapore U19,SINu19,b,FF3112,FFFFFF
482,492,Oman Under 19s,Oman U19,OMAu19,b,B30121,06B89F
483,510,Cricket Australia XI,Cricket Australia XI,CAXI,,FFFFFF,FFFFFF
484,511,Victoria,,,,,
485,512,South Australian Scorpions,,,,,
486,513,New South Wales Breakers,,,,,
487,514,ACT Meteors,,,,,
488,515,Western Fury,,,,,
489,516,BCB Select XI,BCB Select XI,BCB Select XI,m,FFFFFF,FFFFFF
510,539,Islamabad United,Islamabad United,ISU,m,FFFFFF,FFFFFF
511,540,Karachi Kings,Karachi Kings,KAK,m,,
512,541,Lahore Qalandars,Lahore Qalandars,LAQ,m,FFFFFF,FFFFFF
513,542,Peshawar Zalmi,Peshawar Zalmi,PEZ,m,FFFFFF,FFFFFF
514,543,Quetta Gladiators,Quetta Gladiators,QUG,m,FFFFFF,FFFFFF
520,549,North,North,North,m,FFFFFF,FFFFFF
521,550,South,South,South,m,FFFFFF,FFFFFF
524,553,WICB President's XI,,,,,
525,554,University of West Indies Vice Chancellor's XI,,,,,
532,561,Unicorns,Unicorns,,m,FFFFFF,FFFFFF
533,562,MCC,MCC,MCC,,FFFFFF,FFFFFF
534,563,Cambridge MCCU,Cambs MCCU,Cambs MCCU,,FFFFFF,FFFFFF
535,564,Durham MCCU,Durham MCCU,Durham MCCU,,FFFFFF,FFFFFF
536,565,Leeds Bradford MCCU,Lds-Brd MCCU,Lds-Brd MCCU,,FFFFFF,FFFFFF
537,566,Loughborough MCCU,Lbrough MCCU,Lbrough MCCU,,FFFFFF,FFFFFF
538,567,Oxford MCCU,Oxford MCCU,Oxford MCCU,,FFFFFF,FFFFFF
539,568,Cardiff MCCU,Cardiff MCCU,Cardiff MCCU,,FFFFFF,FFFFFF
541,570,Prime Minister's XI,,,,,
552,583,Governor-General XI,,,,,
579,610,Namibia Women,Namibia,NAMw,w,174CC5,F81D00
580,611,Uganda Women,Uganda,UGAw,w,EADF35,FFFFFF
581,612,Tanzania Women,Tanzania,TANw,w,FFFFFF,FFFFFF
582,613,Kenya Women,Kenya,KENw,w,0A7875,FFFFFF
584,615,United Arab Emirates Women,United Arab Emirates,UAEw,w,CE963F,FFFFFF
597,641,World XI,World XI,WXI,,FFFFFF,FFFFFF
606,650,ACT Invitational XI,,,,,
610,654,Rangpur Riders,,,,,
611,655,Chittagong Vikings,,,,,
612,656,Malaysia Women,Malaysia,MASw,w,1E226E,FFFFFF
627,671,WACA XI,WACA XI,WACA XI,,FFFFFF,FFFFFF
629,673,NW Academy,,,,,
633,677,Multan Sultans,Multan Sultans,MUL,m,FFFFFF,FFFFFF
645,689,Jamaica XI,,,,,
647,691,Antigua Masterblasters,,,,,
656,701,Trailblazers,Trailblazers,TRL,w,FFFFFF,FFFFFF
657,702,Supernovas,Supernovas,SPN,w,FFFFFF,FFFFFF
661,706,ECB XI,,,,,
694,739,SLC XI,,,,,
695,740,Services,,SSCB,,FFFFFF,FFFFFF
696,741,Uttar Pradesh,,UPCA,,FFFFFF,FFFFFF
716,761,Board President XI,,,,,
755,801,Madhya Pradesh,,MPCA,,FFFFFF,FFFFFF
762,808,Bihar,,BICA,,FFFFFF,FFFFFF
763,809,Arunachal Pradesh,,ARCA,,FFFFFF,FFFFFF
764,810,Sikkim,,SICA,,FFFFFF,FFFFFF
765,811,Meghalaya,,MECA,,FFFFFF,FFFFFF
766,812,Nagaland,,NCA,,FFFFFF,FFFFFF
767,813,Manipur,,MNCA,,FFFFFF,FFFFFF
801,847,India U19 A,,,,,
802,848,Nepal U19,,,,,
803,849,Cricket Association of Mizoram,,CAM,,FFFFFF,FFFFFF
804,850,Cricket Association of Pondicherry,,CAP,,FFFFFF,FFFFFF
805,851,Cricket Association of Uttarakhand,,CAU,,FFFFFF,FFFFFF
806,852,Windies,,,,,
